ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
0,Das Cabinet des Dr. Caligari,1920,76,8.0,70000,Robert Wiene,"Carl Mayer, Hans Janowitz",Werner Krauss|Conrad Veidt|Friedrich Feher,Horror|Mystery|Thriller,18000,8811
1,London After Midnight,1927,69,6.6,1500,Tod Browning,"Tod Browning, Waldemar Young, Joseph Farnham",Lon Chaney|Marceline Day|Henry B. Walthall,Horror|Mystery|Thriller,151666,1000000
2,West of Zanzibar,1928,65,7.2,2000,Tod Browning,"Elliott J. Clawson, Chester M. De Vonde, Joseph Farnham",Lon Chaney|Lionel Barrymore|Mary Nolan,Drama|Horror|Mystery,259000,921000
3,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,76,6.4,5000,Charles Lamont,"Lee Loeb, John Grant, Sid Fields",Bud Abbott|Lou Costello|Boris Karloff,Comedy|Horror|Mystery,724805,2616000
4,"The Beast from 20,000 Fathoms",1953,80,6.6,8700,Eugène Lourié,"Lou Morheim, Fred Freiberger, Ray Bradbury",Paul Hubschmid|Paula Raymond|Cecil Kellaway,Horror|Sci-Fi,210000,5000000
5,House of Wax,1953,88,7.0,20000,André De Toth,"Crane Wilbur, Charles Belden",Vincent Price|Frank Lovejoy|Phyllis Kirk,Horror,1000000,23750319
6,It Came from Outer Space,1953,81,6.5,11000,Jack Arnold,"Harry Essex, Ray Bradbury",Richard Carlson|Barbara Rush|Charles Drake,Horror|Sci-Fi,800000,1600000
7,Robot Monster,1953,66,3.0,5500,Phil Tucker,Wyott Ordung,George Nader|Gregory Moffett|Claudia Barrett,Comedy|Family|Horror,16000,1000000
8,Annihilation,2018,115,6.8,362000,Alex Garland,"Alex Garland, Jeff VanderMeer",Natalie Portman|Jennifer Jason Leigh|Tessa Thompson,Adventure|Drama|Horror,40000000,43070915
9,The Pyramid,2014,89,4.6,27000,Grégory Levasseur,"Daniel Meersand, Nick Simon",Ashley Hinshaw|James Buckley|Denis O'Hare,Horror|Mystery|Thriller,6500000,16861137
10,A Haunted House 2,2014,86,4.7,23000,Michael Tiddes,"Marlon Wayans, Rick Alvarez",Marlon Wayans|Jaime Pressly|Cedric The Entertainer,Comedy|Fantasy|Horror,4000000,25343661
11,"As Above, So Below",2014,93,6.2,112000,John Erick Dowdle,"John Erick Dowdle, Drew Dowdle",Perdita Weeks|Ben Feldman|Edwin Hodge,Horror|Mystery|Thriller,5000000,41900000
12,Mischief Night,2013,87,4.6,2000,Richard Schenkman,"Jesse Baget, Richard Schenkman, Eric D. Wilkinson",Noell Coet|Daniel Hugh Kelly|Charlie O'Connell,Drama|Horror|Thriller,108000,57000
13,The Lazarus Effect,2015,83,5.2,46000,David Gelb,"Luke Dawson, Jeremy Slater",Olivia Wilde|Mark Duplass|Evan Peters,Horror|Mystery|Sci-Fi,3300000,64110728
14,47 Meters Down,2017,89,5.6,61000,Johannes Roberts,"Johannes Roberts, Ernest Riera",Mandy Moore|Claire Holt|Matthew Modine,Horror|Mystery|Thriller,5500000,62198461
15,The Circle,2017,93,4.8,519,Peter Callow,"Scott O'Neill, Peter Callow",Edward Baker-Duly|Sesselia Olafs|Griffin Stevens,Drama|Horror|Thriller,18000000,40651864
16,Mallari,2023,129,6.9,248,Roderick Cabrido,Enrico C. Santos,Piolo Pascual|Janella Salvador|Elisse Joson,Crime|Drama|Horror,1350000,3800000
17,The Purge: Anarchy,2014,103,6.4,162000,James DeMonaco,James DeMonaco,Frank Grillo|Carmen Ejogo|Zach Gilford,Action|Horror|Sci-Fi,9000000,111928365
18,13/13/13,2013,86,2.9,2400,James Cullen Bressack,James Cullen Bressack,Trae Ireland|Erin Coker|Jody Barton,Horror,52000000,355237933
19,The Conjuring 2,2016,134,7.3,301000,James Wan,"Chad Hayes, Carey W. Hayes, James Wan",Vera Farmiga|Patrick Wilson|Madison Wolfe,Horror|Mystery|Thriller,40000000,322811702
20,Tusk,2014,102,5.3,63000,Kevin Smith,Kevin Smith,Justin Long|Michael Parks|Haley Joel Osment,Comedy|Horror,3000000,1882074
21,Unearthed & Untold: The Path to Pet Sematary,2017,75,6.9,618,"John Campopiano, Justin White","John Campopiano, Justin White",Brad Greenquist|Sean Clark|Mark E. Anastasio,Documentary|Horror,170000,22834
22,Hazard Jack,2014,82,2.7,612,David Worth,"Annie Margis, Doug Vandegrift, David Worth",Amanda Maddox|Kevin James Sporman|Alison Lani,Horror,30000,8000
23,Honeymoon,2014,87,5.7,28000,Leigh Janiak,"Phil Graziadei, Leigh Janiak",Rose Leslie|Harry Treadaway|Ben Huber,Drama|Fantasy|Horror,1000000,9318
24,Insidious: Chapter 3,2015,97,6.1,119000,Leigh Whannell,Leigh Whannell,Dermot Mulroney|Stefanie Scott|Angus Sampson,Horror|Mystery|Thriller,10000000,120453155
25,Incarnate,2016,87,5.3,14000,Brad Peyton,Ronnie Christensen,Aaron Eckhart|Carice van Houten|Catalina Sandino Moreno,Horror|Thriller,5000000,6341855
26,It Follows,2014,100,6.8,269000,David Robert Mitchell,David Robert Mitchell,Maika Monroe|Keir Gilchrist|Olivia Luccardi,Horror|Mystery|Thriller,2300000,23374076
27,Jue min hang ban,2014,86,3.4,350,Vincent Zhou,"Peter Cameron, Vincent Zhou",Ed Westwick|Zhu Zhu|Leon Lee,Action|Horror|Thriller,10000000,5900000
28,Il racconto dei racconti - Tale of Tales,2015,134,6.4,31000,Matteo Garrone,"Edoardo Albinati, Ugo Chiti, Matteo Garrone",Salma Hayek|Vincent Cassel|Toby Jones,Drama|Fantasy|Horror,12000000,5500277
29,Cult of Chucky,2017,91,5.3,30000,Don Mancini,Don Mancini,Allison Dawn Doiron|Alex Vincent|Brad Dourif,Horror|Thriller,6500000,2332018
30,The Autopsy of Jane Doe,2016,86,6.8,140000,André Øvredal,"Ian Goldberg, Richard Naing",Brian Cox|Emile Hirsch|Ophelia Lovibond,Horror|Mystery|Thriller,4000000,6170043
31,Annabelle,2014,99,5.4,175000,John R. Leonetti,Gary Dauberman,Ward Horton|Annabelle Wallis|Alfre Woodard,Horror|Mystery|Thriller,6500000,257589952
32,Pizza II: Villa,2013,102,6.3,709,Deepan Chakravarthy,"Deepan Chakravarthy, Manikandan K.",Ashok Selvan|Sanchita Shetty|Nassar,Horror|Thriller,970000,2800000
33,Jigsaw,2017,92,5.7,92000,"Michael Spierig, Peter Spierig","Josh Stolberg, Pete Goldfinger",Matt Passmore|Tobin Bell|Callum Keith Rennie,Horror|Mystery|Thriller,10000000,102952888
34,Friend Request,2016,92,5.2,28000,Simon Verhoeven,"Matthew Ballen, Philip Koch, Simon Verhoeven",Alycia Debnam-Carey|William Moseley|Connor Paolo,Horror|Mystery|Thriller,9900000,10975390
35,Legend,2015,94,3.5,402,"Timothy Woodward Jr., John Michael Elfers","Lauren De Normandie, John Michael Elfers, Glenn Ennis",Verne Troyer|Kerry Knuppe|Bill Oberst Jr.,Horror,25000000,42972994
36,Scary Stories to Tell in the Dark,2019,108,6.2,85000,André Øvredal,"Dan Hageman, Kevin Hageman, Guillermo del Toro",Zoe Colletti|Michael Garza|Gabriel Rush,Adventure|Horror|Mystery,25000000,104500000
37,The Forest,2016,93,4.8,46000,Jason Zada,"Ben Ketai, Sarah Cornwell, Nick Antosca",Natalie Dormer|Eoin Macken|Stephanie Vogt,Horror|Mystery|Thriller,10000000,37608299
38,What We Do in the Shadows,2014,86,7.6,200000,"Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi",Jemaine Clement|Taika Waititi|Cori Gonzalez-Macuer,Comedy|Horror,1600000,6300000
39,The Boogeyman,2023,98,5.9,44000,Rob Savage,"Scott Beck, Bryan Woods, Mark Heyman",Sophie Thatcher|Chris Messina|Vivien Lyra Blair,Horror|Mystery|Thriller,41900000,66978229
40,Evidence of a Haunting,2010,80,2.4,151,Joey Evans,"Joey Evans, Jessica D. Fulling",Jessica D. Fulling|Renee Wiggins|Scott Evans,Drama|Fantasy|Horror,25000,54474
41,The Visit,2015,94,6.3,152000,M. Night Shyamalan,M. Night Shyamalan,Olivia DeJonge|Ed Oxenbould|Deanna Dunagan,Horror|Mystery|Thriller,5000000,98450062
42,The Grudge,2019,94,4.4,29000,Nicolas Pesce,"Nicolas Pesce, Jeff Buhler, Takashi Shimizu",Tara Westwood|Junko Bailey|David Lawrence Brown,Fantasy|Horror,10000000,42800000
43,Dartmoor Killing,2015,94,4.4,496,Peter Nicholson,"Peter Nicholson, Isabelle Grey",Gemma-Leah Devereux|Rebecca Night|David Hayman,Drama|Horror|Mystery,500000,29198
44,Unfriended,2014,83,5.6,82000,Levan Gabriadze,Nelson Greaves,Heather Sossaman|Matthew Bohrer|Courtney Halverson,Horror|Mystery|Thriller,1000000,62900000
46,Captive,2016,84,4.5,107,Stephen Patrick Kenny,Stephen Patrick Kenny,Rob James Capel|Marwan Abbas|Jamie Burke,Drama|Horror|Sci-Fi,2000000,2801508
47,Sming,2014,105,4.3,154,Pan Visitsak,Pan Visitsak,Thanyaboon Boonprasert|Maythavee Burapasing|Geoffrey Giuliano,Action|Drama|Horror,15000000,89038
48,Malignant,2021,111,6.2,109000,James Wan,"James Wan, Ingrid Bisu, Akela Cooper",Annabelle Wallis|Maddie Hasson|George Young,Crime|Horror|Mystery,40000000,34891791
49,The Predator,2018,107,5.3,144000,Shane Black,"Fred Dekker, Shane Black, Jim Thomas",Boyd Holbrook|Trevante Rhodes|Jacob Tremblay,Action|Adventure|Horror,88000000,160542134
50,31,2016,102,5.1,23000,Rob Zombie,Rob Zombie,Malcolm McDowell|Richard Brake|Jeff Daniel Phillips,Horror|Thriller,1500000,850419
51,Ratter,2015,80,4.8,12000,Branden Kramer,Branden Kramer,Ashley Benson|Matt McGorry|Kaili Vernoff,Drama|Horror|Thriller,500000,110834
52,Krampus,2015,98,6.2,84000,Michael Dougherty,"Todd Casey, Michael Dougherty, Zach Shields",Adam Scott|Toni Collette|David Koechner,Comedy|Fantasy|Horror,15000000,61800000
53,The Boy,2016,97,6.0,102000,William Brent Bell,Stacey Menear,Lauren Cohan|Rupert Evans|James Russell,Horror|Mystery|Thriller,10000000,73929392
54,Patient,2016,94,4.5,253,Jason Sheedy,"Brett Brooks, Jason Sheedy",Anney Reese|Brett Brooks|Sheri Gilbert-Wilson,Horror|Thriller,1200000,1813729
55,The Endless,2017,111,6.5,50000,"Justin Benson, Aaron Moorhead",Justin Benson,Aaron Moorhead|Justin Benson|Callie Hernandez,Drama|Fantasy|Horror,1000000,956425
56,The House That Jack Built,2018,152,6.8,92000,Lars von Trier,"Lars von Trier, Jenle Hallund",Matt Dillon|Bruno Ganz|Uma Thurman,Crime|Drama|Horror,9800000,5566776
57,De uskyldige,2021,117,7.0,25000,Eskil Vogt,Eskil Vogt,Rakel Lenora Petersen Fløttum|Alva Brynsmo Ramstad|Sam Ashraf,Drama|Fantasy|Horror,3400000,322000
58,The Bye Bye Man,2017,96,4.3,26000,Stacy Title,"Jonathan Penner, Robert Damon Schneck",Douglas Smith|Lucien Laviscount|Cressida Bonas,Drama|Fantasy|Horror,7400000,26700000
59,Ayla,2017,86,3.2,867,Elias,Elias,Nicholas Wilder|Tristan Risk|Dee Wallace,Drama|Fantasy|Horror,4200000,21107423
60,The Shallows,2016,86,6.3,144000,Jaume Collet-Serra,Anthony Jaswinski,Blake Lively|Óscar Jaenada|Angelo Josue Lozano Corzo,Action|Drama|Horror,17000000,119100000
61,Green Room,2015,95,7.0,139000,Jeremy Saulnier,Jeremy Saulnier,Anton Yelchin|Imogen Poots|Alia Shawkat,Crime|Drama|Horror,5000000,3800000
62,The Purge: Election Year,2016,108,6.0,110000,James DeMonaco,James DeMonaco,Frank Grillo|Elizabeth Mitchell|Mykelti Williamson,Action|Horror|Sci-Fi,10000000,118587880
63,Muni,2007,146,6.2,575,Raghava Lawrence,Ramesh Khanna,Raghava Lawrence|Vedhika|Raj Kiran,Comedy|Horror,70000000,130982129
64,Don't Breathe,2016,88,7.1,301000,Fede Alvarez,"Fede Alvarez, Rodo Sayagues",Stephen Lang|Jane Levy|Dylan Minnette,Crime|Horror|Thriller,9900000,159100000
65,Meet the Blacks,2016,94,4.8,38000,Deon Taylor,"Deon Taylor, Nicole DeMasi",Mike Epps|Zulay Henao|Alex Henderson,Comedy|Horror,900000,9097072
66,Shin Gojira,2016,120,6.8,37000,"Hideaki Anno, Shinji Higuchi","Hideaki Anno, Sean Whitley, Ishirô Honda",Hiroki Hasegawa|Yutaka Takenouchi|Satomi Ishihara,Action|Drama|Horror,15000000,78053145
67,The VVitch: A New-England Folktale,2015,92,7.0,301000,Robert Eggers,Robert Eggers,Anya Taylor-Joy|Ralph Ineson|Kate Dickie,Drama|Fantasy|Horror,3500000,40423945
68,Terrifier,2016,85,5.6,53000,Damien Leone,Damien Leone,Jenna Kanell|Samantha Scaffidi|David Howard Thornton,Horror|Thriller,100000,416322
69,Pisasu,2014,114,7.5,2300,Mysskin,"Mysskin, Tamizhachi Thangapandian",Naga|Prayaga Martin|Radha Ravi,Drama|Horror|Mystery,310000,1200000
70,Chaar,2014,81,6.9,574,Sandip Ray,"Saradindu Bandopadhyay, Rajshekhar 'Parashuram' Basu, Sandip Ray",Paran Banerjee|Saswata Chatterjee|Rajatabha Dutta,Drama|Horror|Mystery,2500000,8800000
71,The Bad Batch,2016,118,5.2,36000,Ana Lily Amirpour,Ana Lily Amirpour,Suki Waterhouse|Jason Momoa|Jayda Fink,Action|Horror|Mystery,6000000,180851
72,Ouija: Origin of Evil,2016,99,6.2,73000,Mike Flanagan,"Mike Flanagan, Jeff Howard, Juliet Snowden",Elizabeth Reaser|Lulu Wilson|Annalise Basso,Drama|Horror|Mystery,9000000,81700000
74,The Prodigy,2019,92,5.9,28000,Nicholas McCarthy,Jeff Buhler,Taylor Schilling|Jackson Robert Scott|Peter Mooney,Fantasy|Horror|Mystery,6000000,21200000
75,Navy Seals vs. Zombies,2015,97,3.3,2400,Stanton Barrett,"A.K. Waters, Matthew Carpenter",Ed Quinn|Michael Dudikoff|Rick Fox,Action|Horror,1181389,56191
76,Morgan,2016,92,5.8,46000,Luke Scott,Seth W. Owen,Kate Mara|Anya Taylor-Joy|Rose Leslie,Action|Horror|Sci-Fi,8000000,8810591
77,Overlord,2018,110,6.6,107000,Julius Avery,"Billy Ray, Mark L. Smith",Jovan Adepo|Wyatt Russell|Mathilde Ollivier,Action|Horror|Sci-Fi,38000000,41657844
78,The Last Witch,2015,94,3.2,114,Carlos Almón Muñoz,Carlos Almón Muñoz,Fernando Tato|Paula Pier|Clara Gayo,Horror,90000000,146936910
79,Five Nights at Freddy's,2023,109,5.5,94000,Emma Tammi,"Scott Cawthon, Seth Cuddeback, Emma Tammi",Josh Hutcherson|Piper Rubio|Elizabeth Lail,Horror|Mystery|Thriller,20000000,294803785
80,Gojira,1954,96,7.5,40000,Ishirô Honda,"Takeo Murata, Ishirô Honda, Shigeru Kayama",Takashi Shimura|Akihiko Hirata|Akira Takarada,Horror|Sci-Fi,900000,2250000
81,Monster from the Ocean Floor,1954,64,3.8,1000,Wyott Ordung,Bill Danch,Anne Kimbell|Stuart Wade|Dick Pinner,Horror|Sci-Fi,12000,117000
82,This Island Earth,1955,86,5.9,11000,"Joseph M. Newman, Jack Arnold","Franklin Coen, Raymond F. Jones, George Callahan",Jeff Morrow|Faith Domergue|Rex Reason,Horror|Mystery|Sci-Fi,800000,1700000
83,Invasion of the Body Snatchers,1956,80,7.7,55000,Don Siegel,"Daniel Mainwaring, Jack Finney, Richard Collins",Kevin McCarthy|Dana Wynter|Larry Gates,Drama|Horror|Sci-Fi,417000,3000000
84,The New Mutants,2020,94,5.3,90000,Josh Boone,"Josh Boone, Knate Lee",Maisie Williams|Anya Taylor-Joy|Charlie Heaton,Action|Horror|Mystery,67000000,49169594
85,The Craft: Legacy,2020,97,4.6,17000,Zoe Lister-Jones,"Zoe Lister-Jones, Peter Filardi",Cailee Spaeny|Zoey Luna|Gideon Adlon,Drama|Fantasy|Horror,18000000,2300000
86,It Comes at Night,2017,91,6.2,103000,Trey Edward Shults,Trey Edward Shults,Joel Edgerton|Christopher Abbott|Carmen Ejogo,Drama|Horror|Mystery,5000000,19280931
87,Demonte Colony,2015,116,7.0,2700,R. Ajay Gnanamuthu,R. Ajay Gnanamuthu,Arulnithi|Ramesh Thilak|Sananth,Horror|Thriller,240000,2000000
88,A Cure for Wellness,2016,146,6.4,110000,Gore Verbinski,"Justin Haythe, Gore Verbinski",Dane DeHaan|Jason Isaacs|Mia Goth,Drama|Fantasy|Horror,40000000,26620002
89,Unfriended: Dark Web,2018,92,6.0,38000,Stephen Susco,Stephen Susco,Colin Woodell|Stephanie Nogueras|Betty Gabriel,Horror|Mystery|Thriller,1000000,16000000
90,The Meg,2018,113,5.7,208000,Jon Turteltaub,"Dean Georgaris, Jon Hoeber, Erich Hoeber",Jason Statham|Bingbing Li|Rainn Wilson,Action|Horror|Sci-Fi,150000000,530517320
91,Lights Out,2016,81,6.3,143000,David F. Sandberg,"Eric Heisserer, David F. Sandberg",Teresa Palmer|Gabriel Bateman|Maria Bello,Horror|Mystery,4900000,148868835
92,The Id,2015,87,4.8,220,Thommy Hutson,Sean H. Stewart,Amanda Wyss|Patrick Peduto|Jamye Joseph,Horror|Thriller,3000000,21000000
93,Pikovaya dama. Chyornyy obryad,2015,92,5.3,1700,Svyatoslav Podgaevskiy,Svyatoslav Podgaevskiy,Alina Babak|Valeriya Dmitrieva|Igor Khripunov,Horror|Mystery|Thriller,1000000,2228115
94,The Curse of La Llorona,2019,93,5.3,58000,Michael Chaves,"Mikki Daughtry, Tobias Iaconis",Linda Cardellini|Raymond Cruz|Patricia Velasquez,Horror|Mystery|Thriller,9000000,122033739
95,Baskin,2015,97,5.8,12000,Can Evrenol,"Ogulcan Eren Akay, Can Evrenol, Ercin Sadikoglu",Mehmet Cerrahoglu|Görkem Kasal|Ergun Kuyucu,Horror|Thriller,350000,318155
97,Grave,2016,99,7.0,89000,Julia Ducournau,Julia Ducournau,Garance Marillier|Ella Rumpf|Rabah Nait Oufella,Drama|Horror,3500000,4100000
98,Dabbe (Dab6e),2015,160,5.5,3300,Hasan Karacadag,"Yasar Al, Hasan Karacadag",Elçin Atamgüç|Ömer Duran|Funda Eskioglu,Horror|Mystery,700000,3853240
99,Split,2016,117,7.3,555000,M. Night Shyamalan,M. Night Shyamalan,James McAvoy|Anya Taylor-Joy|Haley Lu Richardson,Horror|Thriller,9000000,278454358
100,The Forest,2016,109,6.4,326,Paul Spurrier,Paul Spurrier,Wannasa Wintawong|Tanapol Kamkunkam|Asanee Suwan,Drama|Fantasy|Horror,10000000,37608299
101,The Boo,2018,88,4.1,111,Scott McEntire,Scott McEntire,Brittany Sparkles|Clayton Bowman|Christopher Leigh,Drama|Horror|Thriller,4000000,378000000
102,Get Out,2017,104,7.8,699000,Jordan Peele,Jordan Peele,Daniel Kaluuya|Allison Williams|Bradley Whitford,Horror|Mystery|Thriller,4500000,255407969
103,Color Out of Space,2019,111,6.2,56000,Richard Stanley,"H.P. Lovecraft, Richard Stanley, Scarlett Amaris",Nicolas Cage|Joely Richardson|Madeleine Arthur,Horror|Mystery|Sci-Fi,6000000,1023510
104,Morbius,2022,104,5.1,154000,Daniel Espinosa,"Matt Sazama, Burk Sharpless",Jared Leto|Matt Smith|Adria Arjona,Action|Adventure|Horror,75000000,167635712
105,Deda!,2017,121,6.6,250000,Darren Aronofsky,Darren Aronofsky,Jennifer Lawrence|Javier Bardem|Ed Harris,Drama|Horror|Mystery,11500000,94100000
106,Lover,2018,80,5.3,727,Ralph Sepe,Ralph Sepe,Ralph Sepe|Victoria Beaudoin|Davinder Singh,Horror|Romance|Thriller,7110000,4248574
107,Annabelle: Creation,2017,109,6.5,151000,David F. Sandberg,Gary Dauberman,Anthony LaPaglia|Samara Lee|Miranda Otto,Horror|Mystery|Thriller,15000000,306592201
108,Charlie Charlie,2016,85,2.3,1300,Derek Presley,"Derek Presley, Cody Berry, Tom Zembrod",Mason Dauti|Abby Joy|Marissa Chibli,Comedy|Horror,92000000,264100000
109,Gokseong,2016,156,7.4,82000,Na Hong-jin,Na Hong-jin,Jun Kunimura|Hwang Jung-min|Kwak Do-won,Drama|Horror|Mystery,10951000,49851770
111,Córki dancingu,2015,92,6.3,9800,Agnieszka Smoczynska,Robert Bolesto,Marta Mazurek|Michalina Olszanska|Kinga Preis,Drama|Fantasy|Horror,1300000,102986
112,Happy Death Day,2017,96,6.6,163000,Christopher Landon,Scott Lobdell,Jessica Rothe|Israel Broussard|Ruby Modine,Comedy|Horror|Mystery,4800000,125500000
113,Wish Upon,2017,90,5.1,23000,John R. Leonetti,Barbara Marshall,Joey King|Ryan Phillippe|Ki Hong Lee,Drama|Fantasy|Horror,12000000,14300000
114,Boo! A Madea Halloween,2016,103,4.6,9300,Tyler Perry,Tyler Perry,Tyler Perry|Cassi Davis|Patrice Lovely,Comedy|Drama|Horror,20000000,74827344
115,Life,2017,104,6.6,254000,Daniel Espinosa,"Rhett Reese, Paul Wernick",Jake Gyllenhaal|Rebecca Ferguson|Ryan Reynolds,Horror|Sci-Fi|Thriller,58000000,100541806
116,Oru Murai Vanthu Paarthaya,2016,151,5.3,289,Sajan K. Mathew,Abhilash Sreedharan,Unni Mukundan|Prayaga Martin|Sanusha,Comedy|Horror|Romance,300000,300000
117,Munafik,2016,98,6.6,1100,Syamsul Yusof,Syamsul Yusof,Syamsul Yusof|Nabila Huda|Sabrina Ali,Horror|Mystery|Thriller,393894,1058591
118,Doctor Sleep,2019,152,7.3,219000,Mike Flanagan,"Mike Flanagan, Stephen King",Ewan McGregor|Rebecca Ferguson|Kyliegh Curran,Drama|Fantasy|Horror,45000000,72381712
119,The Ritual,2017,94,6.3,120000,David Bruckner,"Joe Barton, Adam Nevill",Rafe Spall|Arsher Ali|Robert James-Collier,Horror|Mystery|Thriller,1000000,1786396
120,Dead Trigger,2017,91,3.2,1400,"Mike Cuff, Scott Windhauser","Heinz Treschnitzer, Mike Cuff, Scott Windhauser",Dolph Lundgren|Autumn Reeser|Brooke Johnston,Action|Horror|Sci-Fi,10000000,151493
121,The Recall,2017,90,4.1,9400,Mauro Borrelli,"Mauro Borrelli, Reggie Keyohara III, Sam Acton King",Wesley Snipes|RJ Mitte|Jedidiah Goodacre,Action|Horror|Mystery,5000000,1319566
122,Puppet Master: The Littlest Reich,2018,90,5.4,4500,"Sonny Laguna, Tommy Wiklund","S. Craig Zahler, Charles Band, Kenneth J. Hall",Thomas Lennon|Jenny Pellicer|Nelson Franklin,Comedy|Horror,2500000,780846
123,Slender Man,2018,93,3.3,38000,Sylvain White,"David Birke, Victor Surge",Joey King|Julia Goldani Telles|Jaz Sinclair,Horror|Mystery|Thriller,10000000,11817275
124,Busanhaeng,2016,118,7.6,259000,Yeon Sang-ho,"Joo-Suk Park, Yeon Sang-ho",Gong Yoo|Jung Yu-mi|Ma Dong-seok,Action|Horror|Thriller,8500000,87547518
125,The Killing of a Sacred Deer,2017,121,7.0,188000,Yorgos Lanthimos,"Yorgos Lanthimos, Efthimis Filippou",Barry G. Bernson|Herb Caillouet|Bill Camp,Drama|Horror|Mystery,3000000,10700000
126,Maligno,2016,87,5.5,101,"Paco Bardales, Martin Casapía Casanova","Rogger Vergara Adrianzén, Paco Bardales, Alberto Castro",Sofía Rocha|Fiorella Pennano|Gino Pesaressi,Horror|Mystery,150000,400000
127,Insidious: The Last Key,2018,103,5.7,72000,Adam Robitel,Leigh Whannell,Lin Shaye|Leigh Whannell|Angus Sampson,Horror|Mystery|Thriller,10000000,172811971
128,The Possession of Hannah Grace,2018,86,5.2,26000,Diederik Van Rooijen,Brian Sieve,Shay Mitchell|Grey Damon|Kirby Johnson,Horror|Mystery|Thriller,9500000,43000000
129,Underwater,2020,95,5.9,97000,William Eubank,"Brian Duffield, Adam Cozad",Kristen Stewart|Vincent Cassel|Mamoudou Athie,Action|Horror|Sci-Fi,50000000,40882928
130,The Nun,2018,96,5.3,171000,Corin Hardy,"Gary Dauberman, James Wan",Demián Bichir|Taissa Farmiga|Jonas Bloquet,Horror|Mystery|Thriller,22000000,366082797
131,The Empty Man,2020,137,6.2,39000,David Prior,"David Prior, Cullen Bunn",James Badge Dale|Marin Ireland|Sasha Frolova,Drama|Horror|Mystery,16000000,4796993
132,Escape Room,2019,99,6.4,142000,Adam Robitel,"Bragi F. Schut, Maria Melnik",Taylor Russell|Logan Miller|Jay Ellis,Action|Adventure|Horror,9000000,155712077
133,Marrowbone,2017,110,6.7,40000,Sergio G. Sánchez,Sergio G. Sánchez,George MacKay|Anya Taylor-Joy|Charlie Heaton,Drama|Horror|Mystery,8000000,12294931
134,Ezra,2017,147,6.6,3100,Jay.k,"Manu Gopal, Jay.k, Jai Krishna",Prithviraj Sukumaran|Priya Anand|Tovino Thomas,Horror|Mystery|Thriller,1500000,7800000
135,Possessor,2020,103,6.5,46000,Brandon Cronenberg,Brandon Cronenberg,Andrea Riseborough|Christopher Abbott|Jennifer Jason Leigh,Horror|Mystery|Sci-Fi,2500000,911000
136,Captive State,2019,109,6.0,58000,Rupert Wyatt,"Erica Beeney, Rupert Wyatt",John Goodman|Ashton Sanders|Jonathan Majors,Action|Horror|Sci-Fi,25000000,8808611
137,The 13th Friday,2017,95,2.4,1300,Tristan Price,Tristan Price,Lisa May|Deanna Grace Congo|Jose Zuniga,Horror|Thriller,550000,59754601
138,The Night Before,2017,81,4.2,190,Brett Bentman,Brett Bentman,Steven Michael Quezada|Rachel G. Whittle|Tom Zembrod,Horror,25000000,52395996
139,Acrimony,2018,120,5.9,10000,Tyler Perry,Tyler Perry,Taraji P. Henson|Lyriq Bent|Crystle Stewart,Drama|Horror|Romance,20000000,34800000
140,Dora,2017,139,5.3,953,Dass Ramasamy,"Dass Ramasamy, Gautam Siddharth",Nayanthara|Harish Uthaman|Thambi Ramaiah,Action|Horror|Thriller,8000000,61400000
141,Nevesta,2017,95,4.6,3000,Svyatoslav Podgaevskiy,Svyatoslav Podgaevskiy,Viktoriya Agalakova|Vyacheslav Chepurchenko|Aleksandra Rebenok,Drama|Horror|Mystery,25000000,50671850
142,The First Purge,2018,97,5.2,71000,Gerard McMurray,James DeMonaco,Y'lan Noel|Lex Scott Davis|Joivan Wade,Action|Horror|Sci-Fi,13000000,137056262
143,White Noise,2022,136,5.7,45000,Noah Baumbach,"Noah Baumbach, Don DeLillo",Adam Driver|Greta Gerwig|Don Cheadle,Comedy|Drama|Horror,100000000,71476
144,November,2017,115,7.1,6000,Rainer Sarnet,"Andrus Kivirähk, Rainer Sarnet",Rea Lest|Jörgen Liik|Arvo Kukumägi,Drama|Fantasy|Horror,1550000,19084
145,Tyler Perry's Boo 2! A Madea Halloween,2017,101,4.0,5300,Tyler Perry,"Tyler Perry, Brian Schulman",Tyler Perry|Cassi Davis|Patrice Lovely,Comedy|Drama|Horror,25000000,48333932
146,Don't Breathe 2,2021,98,6.0,72000,Rodo Sayagues,"Fede Alvarez, Rodo Sayagues",Stephen Lang|Madelyn Grace|Brendan Sexton III,Action|Crime|Horror,10000000,53800000
147,Office Uprising,2018,92,5.7,18000,Lin Oeding,"Ian Shorr, Peter Gamble",Brenton Thwaites|Jane Levy|Karan Soni,Action|Comedy|Horror,2500000,165623
148,Thelma,2017,116,7.0,37000,Joachim Trier,"Eskil Vogt, Joachim Trier",Eili Harboe|Kaya Wilkins|Henrik Rafaelsen,Drama|Fantasy|Horror,5700000,1500000
149,Ten,2017,82,4.5,273,Chris Robert Riegel,"Gretchen McNeil, Chris Robert Riegel",Dylan Arnold|Meg Cashel|Raquel Castro,Horror|Mystery|Thriller,13000000,122700000
